DT,TICKERS,WGT,PX,DIVIDEND,LEVERAGE,PRICEMO,RETURNVOL,MCAP,EY,RtnM,GICS
01/27/2017,1 HK,3.311631,93.45,2.7662,0.4646,-0.87,18.746,360500.0091,9.1565,0.063139932,20105010
01/27/2017,101 HK,0.509954,19.2,3.9062,0.286,3.14,26.265,86353.4531,7.1611,0.167883212,60102010
01/27/2017,1038 HK,0.543954,62.55,3.4852,0.0934,NA,20.171,165799.7854,6.1186,0.013776337,55101010
01/27/2017,1044 HK,0.604807,63.75,3.3555,0.2293,NA,27.957,76811.6217,4.8122,0.119402985,30302010
01/27/2017,1088 HK,0.737687,16.54,2.2852,0.2286,1.97,36.776,376461.7688,8.3893,0.132876712,10102050
01/27/2017,11 HK,1.594684,158.9,3.5872,NA,5.45,17.982,303791.8167,5.2245,0.101178101,40101010
01/27/2017,1109 HK,0.703634,19.34,2.9938,0.4606,-7.83,32.263,134044.369,13.99,0.108944954,60102030
01/27/2017,1113 HK,1.805583,51.4,2.7821,0.3322,-10.04,30.222,196553.5749,9.8112,0.080967403,60102030
01/27/2017,12 HK,0.616488,35.579,3.2351,0.2881,-10.81,26.31,156590.318,14.0029,0.043647884,60102010
01/27/2017,1299 HK,7.641991,48.3,1.5093,0.0687,-8.75,23.536,582328.2896,5.5462,0.104,40301020
01/27/2017,135 HK,0.263567,6.22,0.9646,0.3986,-5.42,28.491,50210.2667,2.1449,0.072413793,10102040
01/27/2017,1398 HK,4.627807,4.78,5.713,NA,NA,23.236,1813510.436,18.2736,0.027956989,40101010
01/27/2017,144 HK,0.359224,20.85,3.693,0.2757,-11.55,30.332,54746.5108,8.3946,0.083679834,20305030
01/27/2017,151 HK,0.502321,5.56,2.5544,0.1667,-7.25,31.557,69586.4026,5.5969,0.118712274,30202030
01/27/2017,16 HK,1.836422,107.4,3.5847,0.2122,-6.14,25.398,310972.0818,12.4208,0.095918367,60102010
01/27/2017,17 HK,0.686209,9,4.8889,0.7317,-2.1,24.474,87149.8564,11.5275,0.097560976,60102010
